idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,uav_id,success,puf_eval_ms,fe_gen_ms,total_ms,helper_bytes,challenge_bytes,details
71,Baseline5UAV-21-20260922-20:31:48-1127386,Baseline5UAV,21,21,21,sha3,5,,,,1,1,0.004088,0.035546,0.066002,160,16,enrollment; config=Baseline5UAV
72,Baseline5UAV-21-20260922-20:31:48-1127386,Baseline5UAV,21,21,21,sha3,5,,,,2,1,0.003837,0.036187,0.06458,160,16,enrollment; config=Baseline5UAV
73,Baseline5UAV-21-20260922-20:31:48-1127386,Baseline5UAV,21,21,21,sha3,5,,,,3,1,0.003867,0.035045,0.062385,160,16,enrollment; config=Baseline5UAV
74,Baseline5UAV-21-20260922-20:31:48-1127386,Baseline5UAV,21,21,21,sha3,5,,,,4,1,0.003827,0.035275,0.062947,160,16,enrollment; config=Baseline5UAV
75,Baseline5UAV-22-20260922-20:31:48-1127386,Baseline5UAV,22,22,22,sha3,5,,,,0,1,0.008716,0.04288,0.084877,160,16,enrollment; config=Baseline5UAV
76,Baseline5UAV-22-20260922-20:31:48-1127386,Baseline5UAV,22,22,22,sha3,5,,,,1,1,0.004298,0.036107,0.067796,160,16,enrollment; config=Baseline5UAV
77,Baseline5UAV-22-20260922-20:31:48-1127386,Baseline5UAV,22,22,22,sha3,5,,,,2,1,0.003847,0.036638,0.065671,160,16,enrollment; config=Baseline5UAV
78,Baseline5UAV-22-20260922-20:31:48-1127386,Baseline5UAV,22,22,22,sha3,5,,,,3,1,0.003897,0.035085,0.062626,160,16,enrollment; config=Baseline5UAV
79,Baseline5UAV-22-20260922-20:31:48-1127386,Baseline5UAV,22,22,22,sha3,5,,,,4,1,0.003828,0.034664,0.061925,160,16,enrollment; config=Baseline5UAV
80,Baseline5UAV-23-20260922-20:31:48-1127386,Baseline5UAV,23,23,23,sha3,5,,,,0,1,0.006452,0.039914,0.077032,160,16,enrollment; config=Baseline5UAV
