idx,run_id,config,runnumber,repetition,seedset,uav_id,success,wall_latency_ms,bytes_sent,bytes_received,gs_m1_attempts,gs_m4_successes
182,Inet80211SHA3-25-20260810-15:02:31-742143,Inet80211SHA3,25,25,25,2,1,4.819611,147,630,10,10
183,Inet80211SHA3-25-20260810-15:02:31-742143,Inet80211SHA3,25,25,25,3,1,15.69145,147,630,10,10
184,Inet80211SHA3-25-20260810-15:02:31-742143,Inet80211SHA3,25,25,25,4,1,12.648368,147,630,10,10
185,Inet80211SHA3-25-20260810-15:02:31-742143,Inet80211SHA3,25,25,25,5,1,12.022545,147,630,10,10
186,Inet80211SHA3-25-20260810-15:02:31-742143,Inet80211SHA3,25,25,25,6,1,9.480073,147,630,10,10
187,Inet80211SHA3-25-20260810-15:02:31-742143,Inet80211SHA3,25,25,25,7,1,13.4946,147,630,10,10
188,Inet80211SHA3-25-20260810-15:02:31-742143,Inet80211SHA3,25,25,25,8,1,11.277268,147,630,10,10
189,Inet80211SHA3-25-20260810-15:02:31-742143,Inet80211SHA3,25,25,25,9,1,14.220267,147,630,10,10
190,Inet80211SHA3-26-20260810-15:02:32-742143,Inet80211SHA3,26,26,26,0,1,11.684273,147,630,10,10
191,Inet80211SHA3-26-20260810-15:02:32-742143,Inet80211SHA3,26,26,26,1,1,5.740671,147,630,10,10
192,Inet80211SHA3-26-20260810-15:02:32-742143,Inet80211SHA3,26,26,26,2,1,14.253652,147,630,10,10
193,Inet80211SHA3-26-20260810-15:02:32-742143,Inet80211SHA3,26,26,26,3,1,10.293496,147,630,10,10
194,Inet80211SHA3-26-20260810-15:02:32-742143,Inet80211SHA3,26,26,26,4,1,13.487906,147,630,10,10
195,Inet80211SHA3-26-20260810-15:02:32-742143,Inet80211SHA3,26,26,26,5,1,9.132731,147,630,10,10
196,Inet80211SHA3-26-20260810-15:02:32-742143,Inet80211SHA3,26,26,26,6,1,14.999155,147,630,10,10
197,Inet80211SHA3-26-20260810-15:02:32-742143,Inet80211SHA3,26,26,26,7,1,12.762427,147,630,10,10
198,Inet80211SHA3-26-20260810-15:02:32-742143,Inet80211SHA3,26,26,26,8,1,11.179216,147,630,10,10
199,Inet80211SHA3-26-20260810-15:02:32-742143,Inet80211SHA3,26,26,26,9,1,8.728395,147,630,10,10
200,Inet80211SHA3-27-20260810-15:02:32-742143,Inet80211SHA3,27,27,27,0,1,14.190107,147,630,10,10
201,Inet80211SHA3-27-20260810-15:02:32-742143,Inet80211SHA3,27,27,27,1,1,5.917884,147,630,10,10
202,Inet80211SHA3-27-20260810-15:02:32-742143,Inet80211SHA3,27,27,27,2,1,10.162713,147,630,10,10
203,Inet80211SHA3-27-20260810-15:02:32-742143,Inet80211SHA3,27,27,27,3,1,8.29079,147,630,10,10
204,Inet80211SHA3-27-20260810-15:02:32-742143,Inet80211SHA3,27,27,27,4,1,12.394109,147,630,10,10
205,Inet80211SHA3-27-20260810-15:02:32-742143,Inet80211SHA3,27,27,27,5,1,10.962258,147,630,10,10
206,Inet80211SHA3-27-20260810-15:02:32-742143,Inet80211SHA3,27,27,27,6,1,13.364807,147,630,10,10
207,Inet80211SHA3-27-20260810-15:02:32-742143,Inet80211SHA3,27,27,27,7,1,12.999796,147,630,10,10
208,Inet80211SHA3-27-20260810-15:02:32-742143,Inet80211SHA3,27,27,27,8,1,11.307703,147,630,10,10
209,Inet80211SHA3-27-20260810-15:02:32-742143,Inet80211SHA3,27,27,27,9,1,4.818505,147,630,10,10
210,Inet80211SHA3-28-20260810-15:02:32-742143,Inet80211SHA3,28,28,28,0,1,17.794996,147,630,10,10
211,Inet80211SHA3-28-20260810-15:02:32-742143,Inet80211SHA3,28,28,28,1,1,13.023049,147,630,10,10
212,Inet80211SHA3-28-20260810-15:02:32-742143,Inet80211SHA3,28,28,28,2,1,15.258078,147,630,10,10
213,Inet80211SHA3-28-20260810-15:02:32-742143,Inet80211SHA3,28,28,28,3,1,13.76835,147,630,10,10
214,Inet80211SHA3-28-20260810-15:02:32-742143,Inet80211SHA3,28,28,28,4,1,14.652979,147,630,10,10
215,Inet80211SHA3-28-20260810-15:02:32-742143,Inet80211SHA3,28,28,28,5,1,18.140401,147,630,10,10
216,Inet80211SHA3-28-20260810-15:02:32-742143,Inet80211SHA3,28,28,28,6,1,9.944245,147,630,10,10
217,Inet80211SHA3-28-20260810-15:02:32-742143,Inet80211SHA3,28,28,28,7,1,11.562936,147,630,10,10
218,Inet80211SHA3-28-20260810-15:02:32-742143,Inet80211SHA3,28,28,28,8,1,16.949994,147,630,10,10
219,Inet80211SHA3-28-20260810-15:02:32-742143,Inet80211SHA3,28,28,28,9,1,16.104035,147,630,10,10
220,Inet80211SHA3-29-20260810-15:02:32-742143,Inet80211SHA3,29,29,29,0,1,15.020619,147,630,10,10
221,Inet80211SHA3-29-20260810-15:02:32-742143,Inet80211SHA3,29,29,29,1,1,11.651811,147,630,10,10
222,Inet80211SHA3-29-20260810-15:02:32-742143,Inet80211SHA3,29,29,29,2,1,7.739263,147,630,10,10
223,Inet80211SHA3-29-20260810-15:02:32-742143,Inet80211SHA3,29,29,29,3,1,14.414501,147,630,10,10
224,Inet80211SHA3-29-20260810-15:02:32-742143,Inet80211SHA3,29,29,29,4,1,9.731987,147,630,10,10
225,Inet80211SHA3-29-20260810-15:02:32-742143,Inet80211SHA3,29,29,29,5,1,12.518082,147,630,10,10
226,Inet80211SHA3-29-20260810-15:02:32-742143,Inet80211SHA3,29,29,29,6,1,10.771876,147,630,10,10
227,Inet80211SHA3-29-20260810-15:02:32-742143,Inet80211SHA3,29,29,29,7,1,13.382573,147,630,10,10
