idx,run_id,config,runnumber,repetition,seedset,uav_id,sig_suite,success,wall_latency_ms,compute_ms,net_ms,sign_ms,verify_ms,mac_ms,kdf_ms,dh_ms,overhead_bytes,bytes_b1,bytes_b2,bytes_b3,bytes_b4
82,BaselineRSA-16-20260810-16:20:11-769471,BaselineRSA,16,16,16,2,rsa2048,1,1.373328,1.065051,0.678211,0.815425,0.024244,0.004979,0.006983,0.104803,703,330,325,24,24
83,BaselineRSA-16-20260810-16:20:11-769471,BaselineRSA,16,16,16,3,rsa2048,1,1.371978,1.055915,0.683647,0.801289,0.025046,0.004908,0.007353,0.105984,703,330,325,24,24
84,BaselineRSA-16-20260810-16:20:11-769471,BaselineRSA,16,16,16,4,rsa2048,1,1.380053,1.079249,0.674474,0.816486,0.024144,0.00504,0.007103,0.111514,703,330,325,24,24
85,BaselineRSA-16-20260810-16:20:11-769471,BaselineRSA,16,16,16,5,rsa2048,1,1.43587,1.071034,0.717674,0.82383,0.024666,0.006793,0.008065,0.100794,703,330,325,24,24
86,BaselineRSA-16-20260810-16:20:11-769471,BaselineRSA,16,16,16,6,rsa2048,1,1.409708,1.080511,0.689919,0.822077,0.024785,0.00509,0.008516,0.111755,703,330,325,24,24
87,BaselineRSA-16-20260810-16:20:11-769471,BaselineRSA,16,16,16,7,rsa2048,1,1.390566,1.04751,0.699574,0.805136,0.023954,0.00501,0.007293,0.101196,703,330,325,24,24
88,BaselineRSA-16-20260810-16:20:11-769471,BaselineRSA,16,16,16,8,rsa2048,1,1.38503,1.043472,0.676288,0.80172,0.024264,0.004878,0.006943,0.100915,703,330,325,24,24
89,BaselineRSA-16-20260810-16:20:11-769471,BaselineRSA,16,16,16,9,rsa2048,1,1.431962,1.050025,0.729105,0.807831,0.024435,0.004999,0.007213,0.100695,703,330,325,24,24
90,BaselineRSA-17-20260810-16:20:12-769471,BaselineRSA,17,17,17,0,rsa2048,1,1.410151,1.150249,0.691407,0.857171,0.024996,0.005399,0.015829,0.117606,703,330,325,24,24
91,BaselineRSA-17-20260810-16:20:12-769471,BaselineRSA,17,17,17,1,rsa2048,1,1.386202,1.051197,0.692833,0.800628,0.025908,0.005019,0.007343,0.102968,703,330,325,24,24
92,BaselineRSA-17-20260810-16:20:12-769471,BaselineRSA,17,17,17,2,rsa2048,1,1.363002,1.070273,0.680654,0.817489,0.024856,0.004999,0.006843,0.105844,703,330,325,24,24
93,BaselineRSA-17-20260810-16:20:12-769471,BaselineRSA,17,17,17,3,rsa2048,1,1.411656,1.051116,0.689713,0.801951,0.023883,0.004849,0.006823,0.105404,703,330,325,24,24
