idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,module,role,primitive,calls,total_ms,mean_us,median_us,p95_us
117,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[4],uav,mac,16,0.036986,2.311625,2.144,2.80225
118,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[4],uav,mac_verify,14,0.033814,2.415286,2.214,3.36985
119,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[5],uav,aead_open,1,0.001423,1.423,1.423,1.423
120,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[5],uav,dh_derive,10,0.65939,65.939,63.437,77.0817
121,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[5],uav,dh_keygen,10,0.381454,38.1454,34.769,46.88105
122,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[5],uav,extract,1,0.003426,3.426,3.426,3.426
123,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[5],uav,kdf,21,0.118537,5.644619,4.989,8.055
124,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[5],uav,mac,15,0.04413,2.942,2.214,6.1843
125,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[5],uav,mac_verify,15,0.035534,2.368933,2.225,3.719
126,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[6],uav,aead_open,1,0.001362,1.362,1.362,1.362
127,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[6],uav,dh_derive,10,0.635056,63.5056,63.367,64.06255
128,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[6],uav,dh_keygen,10,0.352282,35.2282,34.1185,40.30505
129,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[6],uav,extract,1,0.003306,3.306,3.306,3.306
130,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[6],uav,kdf,21,0.111677,5.317952,4.969,5.641
131,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[6],uav,mac,14,0.032661,2.332929,2.229,2.8412
132,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[6],uav,mac_verify,16,0.035979,2.248687,2.1495,2.73975
133,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[7],uav,aead_open,1,0.001322,1.322,1.322,1.322
134,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[7],uav,dh_derive,10,0.641157,64.1157,63.3175,67.27895
135,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[7],uav,dh_keygen,10,0.386609,38.6609,36.548,46.9407
136,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[7],uav,extract,1,0.003056,3.056,3.056,3.056
137,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[7],uav,kdf,21,0.116418,5.543714,4.949,7.915
138,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[7],uav,mac,13,0.032851,2.527,2.204,4.0954
139,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[7],uav,mac_verify,17,0.037748,2.220471,2.214,2.5924
140,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[8],uav,aead_open,1,0.001332,1.332,1.332,1.332
141,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[8],uav,dh_derive,10,0.646186,64.6186,63.362,69.6832
142,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[8],uav,dh_keygen,10,0.388879,38.8879,37.174,46.87355
143,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[8],uav,extract,1,0.003006,3.006,3.006,3.006
