idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,sha3_compute_ms,spongent_compute_ms,details,p1_i_compute_ms,p1_p2_j_compute_ms,p1_net_ms,p2_p3_i_compute_ms,p2_net_ms,p3_j_compute_ms,p3_net_ms,config,run_id,uav_id,peer_uav_id
47,1,14.483205,14.009205,0.474,104,spongent,0.0,14.004986,pair=UAV0<->UAV3; config=StadiumSPONGENT,1.581424,3.496305,0.155,5.444268,0.186,3.487208,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,0,3
48,1,14.430172,13.976172,0.454,104,spongent,0.0,13.96411,pair=UAV0<->UAV4; config=StadiumSPONGENT,1.562178,3.485675,0.155,5.417587,0.166,3.510732,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,0,4
49,1,14.607776,14.137776,0.47,104,spongent,0.0,14.133116,pair=UAV0<->UAV5; config=StadiumSPONGENT,1.543723,3.531882,0.164,5.480496,0.168,3.581675,0.138,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,0,5
50,1,14.557261,14.071261,0.486,104,spongent,0.0,14.056144,pair=UAV0<->UAV6; config=StadiumSPONGENT,1.557719,3.588378,0.2,5.435081,0.154,3.490083,0.132,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,0,6
51,1,14.48407,14.03907,0.445,104,spongent,0.0,14.034271,pair=UAV0<->UAV7; config=StadiumSPONGENT,1.597995,3.518817,0.158,5.42946,0.154,3.492798,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,0,7
52,1,14.559882,14.056882,0.503,104,spongent,0.0,14.050301,pair=UAV0<->UAV8; config=StadiumSPONGENT,1.564612,3.517003,0.168,5.453976,0.176,3.521291,0.159,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,0,8
53,1,14.469384,13.992384,0.477,104,spongent,0.0,13.988658,pair=UAV0<->UAV9; config=StadiumSPONGENT,1.549414,3.512636,0.155,5.446993,0.155,3.483341,0.167,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,0,9
54,1,14.402881,13.943881,0.459,104,spongent,0.0,13.938321,pair=UAV1<->UAV2; config=StadiumSPONGENT,1.554954,3.511443,0.173,5.395987,0.154,3.481497,0.132,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1,2
55,1,14.443009,14.001009,0.442,104,spongent,0.0,13.995258,pair=UAV1<->UAV3; config=StadiumSPONGENT,1.587265,3.457231,0.154,5.427246,0.155,3.529267,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1,3
56,1,14.56069,14.08669,0.474,104,spongent,0.0,14.081301,pair=UAV1<->UAV4; config=StadiumSPONGENT,1.571245,3.513778,0.155,5.47762,0.174,3.524047,0.145,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1,4
57,1,14.468367,13.947367,0.521,104,spongent,0.0,13.943089,pair=UAV1<->UAV5; config=StadiumSPONGENT,1.539735,3.47267,0.154,5.443096,0.207,3.491866,0.16,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1,5
58,1,14.399214,13.939214,0.46,104,spongent,0.0,13.934115,pair=UAV1<->UAV6; config=StadiumSPONGENT,1.529607,3.48855,0.154,5.430633,0.154,3.490424,0.152,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1,6
59,1,14.50814,14.01214,0.496,104,spongent,0.0,14.007602,pair=UAV1<->UAV7; config=StadiumSPONGENT,1.529246,3.539676,0.169,5.46129,0.179,3.481928,0.148,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1,7
60,1,14.525616,14.084616,0.441,104,spongent,0.0,14.080027,pair=UAV1<->UAV8; config=StadiumSPONGENT,1.566807,3.539566,0.154,5.460699,0.154,3.517544,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1,8
61,1,14.438641,13.975641,0.463,104,spongent,0.0,13.972026,pair=UAV1<->UAV9; config=StadiumSPONGENT,1.545145,3.519509,0.156,5.406998,0.174,3.503989,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1,9
62,1,14.823341,14.342341,0.481,104,spongent,0.0,14.334196,pair=UAV2<->UAV3; config=StadiumSPONGENT,1.559352,3.505182,0.154,5.566859,0.155,3.710948,0.172,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,2,3
