idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,module,role,primitive,calls,total_ms,mean_us,median_us,p95_us
59,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[7],uav,extract,1,0.007044,7.044,7.044,7.044
60,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[7],uav,kdf,21,0.111442,5.306762,4.92,6.232
61,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[7],uav,mac,13,0.030219,2.324538,2.124,3.2022
62,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[7],uav,mac_verify,17,0.03922,2.307059,2.204,3.746
63,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[8],uav,aead_open,1,0.001463,1.463,1.463,1.463
64,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[8],uav,dh_derive,10,0.634824,63.4824,63.0605,65.25725
65,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[8],uav,dh_keygen,10,0.337203,33.7203,33.662,34.174
66,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[8],uav,extract,1,0.003307,3.307,3.307,3.307
67,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[8],uav,kdf,21,0.110289,5.251857,4.89,5.481
68,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[8],uav,mac,12,0.025323,2.11025,2.0945,2.19605
69,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[8],uav,mac_verify,18,0.038367,2.1315,2.18,2.33615
70,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[9],uav,aead_open,1,0.001333,1.333,1.333,1.333
71,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[9],uav,dh_derive,10,0.630339,63.0339,63.0305,63.21005
72,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[9],uav,dh_keygen,10,0.337421,33.7421,33.747,33.88455
73,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[9],uav,extract,1,0.003287,3.287,3.287,3.287
74,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[9],uav,kdf,21,0.099655,4.745476,4.88,5.07
75,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[9],uav,mac,11,0.023175,2.106818,2.094,2.174
76,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[9],uav,mac_verify,19,0.04038,2.125263,2.214,2.346
77,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,aead_seal,9,0.024918,2.768667,2.014,6.0396
78,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,dh_derive,9,0.574786,63.865111,63.186,66.9036
79,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,dh_keygen,9,0.305469,33.941,33.276,36.6994
80,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,extract,10,0.025279,2.5279,2.46,2.81605
81,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,kdf,167,0.745547,4.464353,4.228,5.044
82,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,mac,9,0.022524,2.502667,2.485,2.603
83,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,mac_verify,18,0.039681,2.2045,2.255,2.3755
84,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[0],uav,aead_open,1,0.001974,1.974,1.974,1.974
85,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[0],uav,dh_derive,9,0.573213,63.690333,63.046,66.5066
86,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[0],uav,dh_keygen,10,0.344387,34.4387,33.066,40.5432
87,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[0],uav,extract,1,0.003888,3.888,3.888,3.888
88,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[0],uav,kdf,20,0.096642,4.8321,4.8645,5.2487
89,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[0],uav,mac,19,0.041211,2.169,2.144,2.29
90,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[0],uav,mac_verify,9,0.019278,2.142,2.104,2.345
91,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[1],uav,aead_open,1,0.001402,1.402,1.402,1.402
92,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[1],uav,dh_derive,9,0.567793,63.088111,62.935,63.7248
93,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[1],uav,dh_keygen,10,0.338564,33.8564,33.106,36.9755
94,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[1],uav,extract,1,0.003277,3.277,3.277,3.277
95,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[1],uav,kdf,20,0.094919,4.74595,4.7045,5.13155
96,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[1],uav,mac,18,0.038768,2.153778,2.119,2.34065
97,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[1],uav,mac_verify,10,0.021452,2.1452,2.104,2.33345
98,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[2],uav,aead_open,1,0.001323,1.323,1.323,1.323
99,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[2],uav,dh_derive,9,0.606421,67.380111,62.946,86.8252
100,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[2],uav,dh_keygen,10,0.332763,33.2763,33.071,33.92405
101,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[2],uav,extract,1,0.003066,3.066,3.066,3.066
102,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[2],uav,kdf,20,0.099576,4.9788,4.7595,5.5715
103,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[2],uav,mac,17,0.036401,2.141235,2.114,2.27
104,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[2],uav,mac_verify,11,0.02537,2.306364,2.104,3.3015
105,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[3],uav,aead_open,1,0.001312,1.312,1.312,1.312
106,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[3],uav,dh_derive,9,0.619728,68.858667,63.737,87.1762
107,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[3],uav,dh_keygen,10,0.333647,33.3647,33.206,33.926
108,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[3],uav,extract,1,0.003136,3.136,3.136,3.136
109,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[3],uav,kdf,20,0.101131,5.05655,4.7595,6.97465
