idx,run_id,config,runnumber,repetition,seedset,uav_id,sig_suite,success,wall_latency_ms,compute_ms,net_ms,sign_ms,verify_ms,mac_ms,kdf_ms,dh_ms,overhead_bytes,bytes_b1,bytes_b2,bytes_b3,bytes_b4
70,BaselineRSA-15-20260922-20:33:11-1128111,BaselineRSA,15,15,15,0,rsa2048,1,1.432159,1.099184,0.71585,0.812304,0.025107,0.00527,0.013945,0.11903,703,330,325,24,24
71,BaselineRSA-15-20260922-20:33:11-1128111,BaselineRSA,15,15,15,1,rsa2048,1,1.384431,1.051476,0.673576,0.801033,0.02697,0.005038,0.007804,0.101078,703,330,325,24,24
72,BaselineRSA-15-20260922-20:33:11-1128111,BaselineRSA,15,15,15,2,rsa2048,1,1.402456,1.047098,0.685268,0.805721,0.024445,0.004889,0.007064,0.100246,703,330,325,24,24
73,BaselineRSA-15-20260922-20:33:11-1128111,BaselineRSA,15,15,15,3,rsa2048,1,1.395041,1.042941,0.694179,0.805381,0.023744,0.00485,0.006813,0.099544,703,330,325,24,24
74,BaselineRSA-15-20260922-20:33:11-1128111,BaselineRSA,15,15,15,4,rsa2048,1,1.403418,1.040927,0.685994,0.802857,0.024044,0.004828,0.006743,0.099675,703,330,325,24,24
75,BaselineRSA-15-20260922-20:33:11-1128111,BaselineRSA,15,15,15,5,rsa2048,1,1.381453,1.083616,0.693899,0.822021,0.024225,0.00505,0.008446,0.108891,703,330,325,24,24
76,BaselineRSA-15-20260922-20:33:11-1128111,BaselineRSA,15,15,15,6,rsa2048,1,1.416778,1.056856,0.722805,0.811562,0.024325,0.004949,0.008085,0.101307,703,330,325,24,24
77,BaselineRSA-15-20260922-20:33:11-1128111,BaselineRSA,15,15,15,7,rsa2048,1,1.401956,1.048992,0.71693,0.79966,0.02694,0.005029,0.007464,0.101267,703,330,325,24,24
78,BaselineRSA-15-20260922-20:33:11-1128111,BaselineRSA,15,15,15,8,rsa2048,1,1.403228,1.04859,0.708275,0.811512,0.023864,0.004798,0.006733,0.099544,703,330,325,24,24
79,BaselineRSA-15-20260922-20:33:11-1128111,BaselineRSA,15,15,15,9,rsa2048,1,1.397771,1.038895,0.697594,0.800883,0.023974,0.00482,0.006823,0.099684,703,330,325,24,24
80,BaselineRSA-16-20260922-20:33:11-1128111,BaselineRSA,16,16,16,0,rsa2048,1,1.385973,1.108471,0.691125,0.826871,0.025647,0.005359,0.013595,0.112359,703,330,325,24,24
81,BaselineRSA-16-20260922-20:33:11-1128111,BaselineRSA,16,16,16,1,rsa2048,1,1.383358,1.048851,0.676976,0.806233,0.024856,0.004948,0.007044,0.100375,703,330,325,24,24
82,BaselineRSA-16-20260922-20:33:11-1128111,BaselineRSA,16,16,16,2,rsa2048,1,1.373328,1.057718,0.678211,0.816051,0.024366,0.00514,0.006873,0.100526,703,330,325,24,24
83,BaselineRSA-16-20260922-20:33:11-1128111,BaselineRSA,16,16,16,3,rsa2048,1,1.371978,1.046087,0.683647,0.806533,0.024275,0.004899,0.006693,0.100085,703,330,325,24,24
84,BaselineRSA-16-20260922-20:33:11-1128111,BaselineRSA,16,16,16,4,rsa2048,1,1.380053,1.041666,0.674474,0.803167,0.023795,0.004848,0.006743,0.100085,703,330,325,24,24
85,BaselineRSA-16-20260922-20:33:11-1128111,BaselineRSA,16,16,16,5,rsa2048,1,1.43587,1.070332,0.717674,0.802626,0.031378,0.005119,0.009547,0.103743,703,330,325,24,24
86,BaselineRSA-16-20260922-20:33:11-1128111,BaselineRSA,16,16,16,6,rsa2048,1,1.409708,1.083857,0.689919,0.8265,0.027881,0.005109,0.007725,0.103972,703,330,325,24,24
87,BaselineRSA-16-20260922-20:33:11-1128111,BaselineRSA,16,16,16,7,rsa2048,1,1.390566,1.074538,0.699574,0.828223,0.024996,0.005079,0.007424,0.101447,703,330,325,24,24
88,BaselineRSA-16-20260922-20:33:11-1128111,BaselineRSA,16,16,16,8,rsa2048,1,1.38503,1.042199,0.676288,0.79942,0.024255,0.004888,0.007153,0.101277,703,330,325,24,24
89,BaselineRSA-16-20260922-20:33:11-1128111,BaselineRSA,16,16,16,9,rsa2048,1,1.431962,1.065032,0.729105,0.808687,0.024365,0.00494,0.007123,0.108,703,330,325,24,24
