idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,uav_id,success,puf_eval_ms,fe_gen_ms,total_ms,helper_bytes,challenge_bytes,details
103,Baseline5UAV-0-20260809-23:47:27-406517,Baseline5UAV,0,0,0,sha3,5,,,,3,1,0.946789,0.035481,1.007881,160,16,enrollment; config=Baseline5UAV
104,Baseline5UAV-0-20260809-23:47:27-406517,Baseline5UAV,0,0,0,sha3,5,,,,4,1,0.948682,0.035652,1.007601,160,16,enrollment; config=Baseline5UAV
105,Baseline5UAV-1-20260809-23:47:27-406517,Baseline5UAV,1,1,1,sha3,5,,,,0,1,0.957901,0.039719,1.030456,160,16,enrollment; config=Baseline5UAV
106,Baseline5UAV-1-20260809-23:47:27-406517,Baseline5UAV,1,1,1,sha3,5,,,,1,1,0.946268,0.0354,1.007731,160,16,enrollment; config=Baseline5UAV
107,Baseline5UAV-1-20260809-23:47:27-406517,Baseline5UAV,1,1,1,sha3,5,,,,2,1,0.949224,0.034629,1.008833,160,16,enrollment; config=Baseline5UAV
108,Baseline5UAV-1-20260809-23:47:27-406517,Baseline5UAV,1,1,1,sha3,5,,,,3,1,0.948673,0.03514,1.006819,160,16,enrollment; config=Baseline5UAV
109,Baseline5UAV-1-20260809-23:47:27-406517,Baseline5UAV,1,1,1,sha3,5,,,,4,1,0.951077,0.035601,1.010626,160,16,enrollment; config=Baseline5UAV
110,Baseline5UAV-2-20260809-23:47:27-406517,Baseline5UAV,2,2,2,sha3,5,,,,0,1,0.968762,0.042505,1.041979,160,16,enrollment; config=Baseline5UAV
111,Baseline5UAV-2-20260809-23:47:27-406517,Baseline5UAV,2,2,2,sha3,5,,,,1,1,0.978843,0.036303,1.041418,160,16,enrollment; config=Baseline5UAV
112,Baseline5UAV-2-20260809-23:47:27-406517,Baseline5UAV,2,2,2,sha3,5,,,,2,1,0.963373,0.034899,1.023582,160,16,enrollment; config=Baseline5UAV
113,Baseline5UAV-2-20260809-23:47:27-406517,Baseline5UAV,2,2,2,sha3,5,,,,3,1,0.963783,0.03537,1.023302,160,16,enrollment; config=Baseline5UAV
114,Baseline5UAV-2-20260809-23:47:27-406517,Baseline5UAV,2,2,2,sha3,5,,,,4,1,0.973562,0.036512,1.033883,160,16,enrollment; config=Baseline5UAV
115,Baseline5UAV-3-20260809-23:47:27-406517,Baseline5UAV,3,3,3,sha3,5,,,,0,1,0.959985,0.045641,1.041799,160,16,enrollment; config=Baseline5UAV
116,Baseline5UAV-3-20260809-23:47:27-406517,Baseline5UAV,3,3,3,sha3,5,,,,1,1,0.970597,0.036252,1.033211,160,16,enrollment; config=Baseline5UAV
117,Baseline5UAV-3-20260809-23:47:27-406517,Baseline5UAV,3,3,3,sha3,5,,,,2,1,0.959865,0.03516,1.020536,160,16,enrollment; config=Baseline5UAV
118,Baseline5UAV-3-20260809-23:47:27-406517,Baseline5UAV,3,3,3,sha3,5,,,,3,1,0.950777,0.043176,1.020897,160,16,enrollment; config=Baseline5UAV
119,Baseline5UAV-3-20260809-23:47:27-406517,Baseline5UAV,3,3,3,sha3,5,,,,4,1,1.179013,0.038116,1.249393,160,16,enrollment; config=Baseline5UAV
120,Baseline5UAV-4-20260809-23:47:27-406517,Baseline5UAV,4,4,4,sha3,5,,,,0,1,0.956418,0.04007,1.026137,160,16,enrollment; config=Baseline5UAV
121,Baseline5UAV-4-20260809-23:47:27-406517,Baseline5UAV,4,4,4,sha3,5,,,,1,1,0.962019,0.037094,1.025416,160,16,enrollment; config=Baseline5UAV
122,Baseline5UAV-4-20260809-23:47:27-406517,Baseline5UAV,4,4,4,sha3,5,,,,2,1,0.953472,0.036483,1.014564,160,16,enrollment; config=Baseline5UAV
123,Baseline5UAV-4-20260809-23:47:27-406517,Baseline5UAV,4,4,4,sha3,5,,,,3,1,1.208221,0.04018,1.272208,160,16,enrollment; config=Baseline5UAV
124,Baseline5UAV-4-20260809-23:47:27-406517,Baseline5UAV,4,4,4,sha3,5,,,,4,1,0.955898,0.037384,1.020456,160,16,enrollment; config=Baseline5UAV
125,Baseline5UAV-5-20260809-23:47:27-406517,Baseline5UAV,5,5,5,sha3,5,,,,0,1,0.957831,0.039599,1.0272,160,16,enrollment; config=Baseline5UAV
126,Baseline5UAV-5-20260809-23:47:27-406517,Baseline5UAV,5,5,5,sha3,5,,,,1,1,0.955717,0.035541,1.016969,160,16,enrollment; config=Baseline5UAV
127,Baseline5UAV-5-20260809-23:47:27-406517,Baseline5UAV,5,5,5,sha3,5,,,,2,1,0.951498,0.03493,1.010346,160,16,enrollment; config=Baseline5UAV
128,Baseline5UAV-5-20260809-23:47:27-406517,Baseline5UAV,5,5,5,sha3,5,,,,3,1,0.957461,0.034799,1.015426,160,16,enrollment; config=Baseline5UAV
129,Baseline5UAV-5-20260809-23:47:27-406517,Baseline5UAV,5,5,5,sha3,5,,,,4,1,0.960366,0.034669,1.018111,160,16,enrollment; config=Baseline5UAV
130,Baseline5UAV-6-20260809-23:47:27-406517,Baseline5UAV,6,6,6,sha3,5,,,,0,1,0.958372,0.038988,1.026869,160,16,enrollment; config=Baseline5UAV
131,Baseline5UAV-6-20260809-23:47:27-406517,Baseline5UAV,6,6,6,sha3,5,,,,1,1,0.950817,0.035291,1.011678,160,16,enrollment; config=Baseline5UAV
132,Baseline5UAV-6-20260809-23:47:27-406517,Baseline5UAV,6,6,6,sha3,5,,,,2,1,0.949163,0.033507,1.00713,160,16,enrollment; config=Baseline5UAV
133,Baseline5UAV-6-20260809-23:47:27-406517,Baseline5UAV,6,6,6,sha3,5,,,,3,1,0.946108,0.03511,1.003762,160,16,enrollment; config=Baseline5UAV
134,Baseline5UAV-6-20260809-23:47:27-406517,Baseline5UAV,6,6,6,sha3,5,,,,4,1,0.96251,0.03494,1.021067,160,16,enrollment; config=Baseline5UAV
135,Baseline5UAV-7-20260809-23:47:27-406517,Baseline5UAV,7,7,7,sha3,5,,,,0,1,0.955807,0.048307,1.033633,160,16,enrollment; config=Baseline5UAV
136,Baseline5UAV-7-20260809-23:47:27-406517,Baseline5UAV,7,7,7,sha3,5,,,,1,1,1.006027,0.038748,1.077781,160,16,enrollment; config=Baseline5UAV
137,Baseline5UAV-7-20260809-23:47:27-406517,Baseline5UAV,7,7,7,sha3,5,,,,2,1,0.95236,0.03498,1.013532,160,16,enrollment; config=Baseline5UAV
138,Baseline5UAV-7-20260809-23:47:27-406517,Baseline5UAV,7,7,7,sha3,5,,,,3,1,0.952541,0.036062,1.012821,160,16,enrollment; config=Baseline5UAV
139,Baseline5UAV-7-20260809-23:47:27-406517,Baseline5UAV,7,7,7,sha3,5,,,,4,1,0.946999,0.03476,1.005416,160,16,enrollment; config=Baseline5UAV
140,Baseline5UAV-8-20260809-23:47:27-406517,Baseline5UAV,8,8,8,sha3,5,,,,0,1,1.571225,0.045481,1.663309,160,16,enrollment; config=Baseline5UAV
141,Baseline5UAV-8-20260809-23:47:27-406517,Baseline5UAV,8,8,8,sha3,5,,,,1,1,0.958652,0.035621,1.021859,160,16,enrollment; config=Baseline5UAV
142,Baseline5UAV-8-20260809-23:47:27-406517,Baseline5UAV,8,8,8,sha3,5,,,,2,1,0.959895,0.035,1.020636,160,16,enrollment; config=Baseline5UAV
143,Baseline5UAV-8-20260809-23:47:27-406517,Baseline5UAV,8,8,8,sha3,5,,,,3,1,0.950065,0.03482,1.009093,160,16,enrollment; config=Baseline5UAV
144,Baseline5UAV-8-20260809-23:47:27-406517,Baseline5UAV,8,8,8,sha3,5,,,,4,1,0.979134,0.036062,1.039384,160,16,enrollment; config=Baseline5UAV
145,Baseline5UAV-9-20260809-23:47:27-406517,Baseline5UAV,9,9,9,sha3,5,,,,0,1,0.956859,0.041483,1.029373,160,16,enrollment; config=Baseline5UAV
146,Baseline5UAV-9-20260809-23:47:27-406517,Baseline5UAV,9,9,9,sha3,5,,,,1,1,0.960646,0.035481,1.02233,160,16,enrollment; config=Baseline5UAV
147,Baseline5UAV-9-20260809-23:47:27-406517,Baseline5UAV,9,9,9,sha3,5,,,,2,1,0.955356,0.034919,1.015386,160,16,enrollment; config=Baseline5UAV
148,Baseline5UAV-9-20260809-23:47:27-406517,Baseline5UAV,9,9,9,sha3,5,,,,3,1,0.952341,0.035961,1.012109,160,16,enrollment; config=Baseline5UAV
149,Baseline5UAV-9-20260809-23:47:27-406517,Baseline5UAV,9,9,9,sha3,5,,,,4,1,0.952981,0.03484,1.011738,160,16,enrollment; config=Baseline5UAV
150,HighNoise-0-20260809-23:47:34-406846,HighNoise,0,0,0,sha3,10,,,,0,1,1.044514,0.065882,1.153031,160,16,enrollment; config=HighNoise
151,HighNoise-0-20260809-23:47:34-406846,HighNoise,0,0,0,sha3,10,,,,1,1,0.962701,0.036423,1.026107,160,16,enrollment; config=HighNoise
152,HighNoise-0-20260809-23:47:34-406846,HighNoise,0,0,0,sha3,10,,,,2,1,0.961899,0.038156,1.025736,160,16,enrollment; config=HighNoise
